question,answer,tech_accuracy,confidence
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",60,30
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,95,60
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,28,27
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",50,61
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,23,8
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",47,45
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",100,90
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,46,47
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",86,71
Explain how a hash map works.,It's just an array that stores things inside it. ,31,17
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",51,57
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",100,81
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",91,92
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",52,79
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",61,54
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",95,81
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",45,36
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",87,100
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",60,57
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",94,96
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",95,82
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",51,30
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",93,81
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",93,96
Explain the concept of REST APIs.,It's an API that lets you download data. ,32,39
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,34,44
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,24,55
What is normalization in a database?,It makes the database normal and easy to read. ,24,0
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",45,53
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,40,26
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,31,40
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",66,45
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,25,15
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",98,64
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,92,71
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",68,80
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",53,54
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,90,79
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",54,19
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",40,36
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",52,23
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",68,46
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,28,20
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",57,47
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,24,37
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,33,55
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",63,46
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",99,86
What is normalization in a database?,It makes the database normal and easy to read. ,27,23
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,87,83
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,23,23
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,31,34
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",61,57
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,29,37
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",56,62
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,27,34
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,20,56
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,92,57
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",58,69
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",63,35
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",45,56
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",62,59
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",84,59
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",63,42
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,99,64
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",64,59
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,24,23
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,17,34
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,25,53
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",87,79
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",59,41
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",62,43
What is normalization in a database?,It makes the database normal and easy to read. ,22,82
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,17,34
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",53,24
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,25,48
Explain the concept of REST APIs.,It's an API that lets you download data. ,26,49
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",68,45
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",61,44
Explain how a hash map works.,It's just an array that stores things inside it. ,35,25
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,87,92
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",75,52
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",59,77
What is normalization in a database?,It makes the database normal and easy to read. ,32,38
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",57,78
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,84,91
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,4,35
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",88,88
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,24,47
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,88,87
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",87,88
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",88,74
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",53,35
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,92,73
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",41,67
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",45,40
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",90,88
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",63,21
What is normalization in a database?,It makes the database normal and easy to read. ,24,23
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,96,69
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",84,72
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",84,87
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,80,77
What is normalization in a database?,It makes the database normal and easy to read. ,15,5
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",88,58
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",58,47
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",69,52
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",57,59
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",58,77
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,28,49
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,34,55
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",45,81
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,21,41
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",77,44
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",65,43
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,28,42
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,33,61
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,92,94
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,81,85
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",39,37
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",86,69
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",69,49
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,49,31
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,37,40
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",86,72
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,93,91
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",64,29
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,37,35
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,26,19
Explain the concept of REST APIs.,It's an API that lets you download data. ,14,25
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",51,76
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,26,20
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",92,98
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",42,65
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",35,34
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",62,58
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,84,68
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,86,83
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,94,91
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",62,25
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",50,46
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",61,19
Explain the concept of REST APIs.,It's an API that lets you download data. ,23,41
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,85,77
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",60,33
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,25,55
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,88,82
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,53,43
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",59,42
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",76,60
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,82,100
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",66,47
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",80,77
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,32,46
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,15,43
Explain how a hash map works.,It's just an array that stores things inside it. ,47,4
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",56,54
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,50,62
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",54,28
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",48,62
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,28,51
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",82,85
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",68,57
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",85,99
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,40,20
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",64,52
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,42,46
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",57,65
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",65,35
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",95,92
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,40,37
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",58,45
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,28,68
Explain how a hash map works.,It's just an array that stores things inside it. ,32,32
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",58,44
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",56,80
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,91,74
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",91,78
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",40,48
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",59,43
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,87,91
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,84,87
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",43,46
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,20,31
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",83,89
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",69,63
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,29,44
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",43,36
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,46,29
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,28,31
What is normalization in a database?,It makes the database normal and easy to read. ,17,62
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",48,62
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",71,36
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",91,71
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",91,83
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",62,22
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",54,38
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,86,100
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,33,40
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,92,90
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,32,18
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,89,71
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",49,51
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",85,75
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",95,82
Explain how a hash map works.,It's just an array that stores things inside it. ,34,39
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,90,81
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",38,65
Explain the concept of REST APIs.,It's an API that lets you download data. ,41,11
What is normalization in a database?,It makes the database normal and easy to read. ,14,78
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,28,46
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,81,92
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",64,42
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",91,97
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,21,31
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",81,70
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,35,59
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",63,48
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",46,25
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",68,66
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,18,64
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",70,40
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,83,100
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",39,59
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,35,9
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",85,74
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,83,67
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,32,17
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",50,31
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,29,52
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,29,35
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,82,77
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",88,96
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",85,84
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,92,99
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",42,89
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,94,75
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,89,73
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,83,66
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,26,50
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,31,47
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,39,38
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",51,43
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,24,18
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",69,72
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",65,67
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,88,88
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",56,50
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",58,42
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",71,33
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",62,38
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",68,27
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,25,65
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",65,50
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",67,75
Explain the concept of REST APIs.,It's an API that lets you download data. ,25,8
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,57,35
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",86,79
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,37,36
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,32,51
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,23,42
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",93,85
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",57,38
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",87,74
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",59,79
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",66,70
What is normalization in a database?,It makes the database normal and easy to read. ,39,17
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,39,43
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,33,17
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",96,71
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",53,16
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,31,57
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,91,100
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,23,30
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",70,33
Explain the concept of REST APIs.,It's an API that lets you download data. ,35,37
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",80,84
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,41,31
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,82,86
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,85,77
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,89,73
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",63,51
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",71,59
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",83,80
Explain how a hash map works.,It's just an array that stores things inside it. ,20,29
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,86,86
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",88,78
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,86,91
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,48,44
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",65,78
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,21,20
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",78,56
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",42,53
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,29,58
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",58,35
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",85,100
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,88,73
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",56,58
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",78,71
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",86,92
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",91,84
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",41,47
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",60,66
